"","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","Fri","Mon","Sat","Sun","Thu","Tue","Wed","year","day","temp","visib","wdsp","prcp","fog","collisons"
"96",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2012,6,68.6,2.9,2.2,0.01,1,0.089214536876304
"97",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2012,7,67.8,8.4,3.3,0,0,1.72958189499878
"98",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2012,2,66.1,7,5.2,0.01,1,-0.548050479948253
"99",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2012,1,52.5,9.3,2,0.04,0,-0.772273356238375
"100",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2012,3,49.9,9,3.5,0.2,0,-2.01139977784168
"101",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2012,4,53.8,8.5,5.6,0.46,0,0.278033801120617
"102",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2012,5,58.2,7.5,5.2,0.03,0,1.10411808218949
"103",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2012,6,53.4,10,5.5,0.02,0,1.30473855044907
"104",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2012,7,51.2,10,5.3,0,0,0.561262697487087
"105",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2012,2,45.2,10,3.1,0,0,0.00660610876941692
"106",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2012,1,58.7,10,5,0,0,-0.34743001168867
"107",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2012,3,65.3,9.4,4.5,0,0,0.714678349685592
"108",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2012,4,55.8,9.9,5.8,0.12,0,0.655672329609244
"109",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2012,5,51.9,10,1.3,0,0,0.809087981807748
"110",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2012,6,56.8,9.7,3.1,0,0,0.986106042036792
"111",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2012,7,63.2,6.1,5.2,0.25,1,2.26063607568591
"112",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2012,2,62.7,5,6.3,0.13,1,0.4786542693802
"113",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2012,1,56.5,10,5,0,0,-1.4213395770782
"114",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2012,3,57.8,10,4.3,0,0,0.738280757716131
"115",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2012,4,59,9.7,2.2,0,0,-0.288423991612323
"116",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2012,5,57.1,6.4,4.1,0.07,0,-0.618857704039871
"117",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2012,6,58,10,3,0,0,-0.418237235780288
"118",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2012,7,60.8,10,1.5,0,0,0.608467513548165
"119",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2012,2,61.9,9.6,4.3,0,0,-0.264821583581783
"120",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2012,1,57.7,9.6,11.9,0,0,-1.6927672694294
"121",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2012,3,56.9,6.1,18.7,0.03,0,-2.93189369103271
"122",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2012,4,53.9,8.1,8.9,1.97,0,-2.05860459390276
"123",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2012,5,49.7,8.6,5.5,0.06,0,0.0302085167999561
"124",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2012,6,47.7,10,6,0.04,0,-1.2679239248797
"125",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2012,7,48.2,10,5.2,0,0,-2.37723710231504
"126",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2012,2,44.7,10,7.6,0.01,0,-2.82568285489528
"127",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2012,1,43.2,10,6.1,0,0,-2.38903830633031
"128",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2012,3,42.3,10,5.5,0,0,-0.795875764268914
"129",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2012,4,36.6,10,4.8,0.07,0,-0.382833623734479
"130",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2012,5,37.1,7.3,10.1,0,1,2.02461199538051
"131",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2012,6,41.2,5.1,15.2,2.45,0,0.0420097208152257
"132",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2012,7,43.3,9.8,9.6,0.17,0,1.67057587492243
"133",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2012,2,48,7.9,2,0,0,-1.20891790480335
"134",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2012,1,54.7,7,1.6,0,0,-0.241219175551244
"135",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2012,3,56.7,7.4,2.9,0,1,0.00660610876941692
"136",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2012,4,52.4,8.8,6.1,0.06,0,1.19852771431164
"137",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2012,5,42.8,9.6,7.7,0.33,0,0.927100021960444
"138",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2012,6,40.4,10,5.3,0,0,0.903497613929905
"139",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2012,7,41.9,9.7,5.8,0,0,1.48175661067811
"140",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2012,2,43.6,10,4.7,0,0,-0.052399911306931
"141",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2012,1,43.2,9.8,5.5,0,0,-1.18531549677281
"142",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2012,3,43,10,6.3,0,0,0.455051861349661
"143",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2012,4,44.4,10,3.6,0,0,1.46995540666284
